悉达多,9.0,[德] 赫尔曼·黑塞 / 杨玉功 译 / 上海人民出版社 / 2009-3 / 20.00
我们仨,8.7,杨绛 / 生活·读书·新知三联书店 / 2003-7 / 18.80元
爱你就像爱生命,8.8,王小波 / 上海锦绣文章出版社 / 2008-5 / 18.00元
一个叫欧维的男人决定去死 EnmansomheterOve,9.0,[瑞典] 弗雷德里克·巴克曼 / 宁蒙 / 四川文艺出版社 / 2015-12 / 35.00元
这些人，那些事 ,8.8,吴念真 / 译林出版社 / 2011-9 / 28.00元
红楼梦,9.6,[清] 曹雪芹 著 / 人民文学出版社 / 1996-12 / 59.70元
活着 ,9.4,余华 / 作家出版社 / 2012-8-1 / 20.00元
1984NineteenEighty-Four,9.3,[英] 乔治·奥威尔 / 刘绍铭 / 北京十月文艺出版社 / 2010-4-1 / 28.00
百年孤独Cienañosdesoledad,9.2,[哥伦比亚] 加西亚·马尔克斯 / 范晔 / 南海出版公司 / 2011-6 / 39.50元
飘GonewiththeWind,9.3,[美国] 玛格丽特·米切尔 / 李美华 / 译林出版社 / 2000-9 / 40.00元
三体全集:地球往事三部曲,9.4,刘慈欣 / 重庆出版社 / 2012-1-1 / 168.00元
三国演义（全二册）,9.3,[明] 罗贯中 / 人民文学出版社 / 1998-05 / 39.50元
白夜行,9.1,[日] 东野圭吾 / 刘姿君 / 南海出版公司 / 2013-1-1 / 39.50元
福尔摩斯探案全集（上中下）,9.3,[英] 阿·柯南道尔 / 丁钟华 等 / 群众出版社 / 1981-8 / 53.00元/68.00元
动物农场AnimalFarm,9.2,[英] 乔治·奥威尔 / 荣如德 / 上海译文出版社 / 2007-3 / 10.00元
房思琪的初恋乐园 ,9.2,林奕含 / 北京联合出版公司 / 2018-1 / 45.00元
小王子LePetitPrince,9.0,[法] 圣埃克苏佩里 / 马振聘 / 人民文学出版社 / 2003-8 / 22.00元
天龙八部,9.1,金庸 / 生活.读书.新知三联书店 / 1994-5 / 96.0
撒哈拉的故事,9.2,三毛 / 哈尔滨出版社 / 2003-8 / 15.80元
安徒生童话故事集,9.2,（丹麦）安徒生 / 叶君健 / 人民文学出版社 / 1997-08 / 25.00元
哈利•波特HarryPotter,9.7,J.K.罗琳 (J.K.Rowling) / 苏农 / 人民文学出版社 / 2008-12-1 / 498.00元
沉默的大多数:王小波杂文随笔全编,9.1,王小波 / 中国青年出版社 / 1997-10 / 27.00元
人类简史:从动物到上帝 Abriefhistoryofhumankind,9.1,[以色列] 尤瓦尔·赫拉利 / 林俊宏 / 中信出版社 / 2014-11 / CNY 68.00
围城,8.9,钱锺书 / 人民文学出版社 / 1991-2 / 19.00
平凡的世界（全三部）,9.0,路遥 / 人民文学出版社 / 2005-1 / 64.00元
局外人L'Etranger,9.0,[法] 阿尔贝·加缪 / 柳鸣九 / 上海译文出版社 / 2010-8 / 22.00元
明朝那些事儿（1-9）:限量版,9.1,当年明月 / 中国海关出版社 / 2009-4 / 358.20元
霍乱时期的爱情Elamorenlostiemposdelcólera,9.0,[哥伦比亚] 加西亚·马尔克斯 / 杨玲 / 南海出版公司 / 2012-9-1 / 39.50元
杀死一只知更鸟 ToKillaMockingBird,9.2,[美] 哈珀·李 / 高红梅 / 译林出版社 / 2012-9 / 32.00元
笑傲江湖（全四册）,9.0,金庸 / 生活·读书·新知三联书店 / 1994-5 / 76.80元
