煮面条，又叫面、水煮面、面条（煮）,热量：107 大卡(每100克),http://www.boohee.com/shiwu/miantiao_fuqiangfen_zhu
籼米粉，又叫米线、米粉、粉、排米粉,热量：356 大卡(每100克),http://www.boohee.com/shiwu/xianmifen
面包,热量：313 大卡(每100克),http://www.boohee.com/shiwu/mianbao_junzhi
红薯，又叫地瓜、番薯、甘薯、山芋、红薯,热量：61 大卡(每100克),http://www.boohee.com/shiwu/ganshu_hongxin
小米粥,热量：46 大卡(每100毫升),http://www.boohee.com/shiwu/xiaomizhou
马铃薯，又叫土豆、洋芋、地蛋、山药蛋、洋番薯、土豆、洋芋,热量：81 大卡(每100克),http://www.boohee.com/shiwu/malingshu
Easy Fun 营养粉丝(香菇炖鸡)，又叫Easy Fun 营养粉丝（香菇炖鸡味）,热量：357 大卡(每100克),http://www.boohee.com/shiwu/fda3bd99
Easy Fun 营养粉丝(牛肉味噌味),热量：363 大卡(每100克),http://www.boohee.com/shiwu/fdbd0231
白粥，又叫白粥（粳米），稀饭，大米粥，白米粥，米粥，大米汤汤,热量：46 大卡(每100毫升),http://www.boohee.com/shiwu/jingmizhou
Easy Fun 营养粉丝(番茄鸡蛋)，又叫Easy Fun 营养粉丝（番茄鸡蛋味）,热量：348 大卡(每100克),http://www.boohee.com/shiwu/fd81135c
Easy Fun 低脂咖喱鸡饭,热量：179 大卡(每100克),http://www.boohee.com/shiwu/fd87825c
Easy Fun 抹茶红豆麦片,热量：381 大卡(每100克),http://www.boohee.com/shiwu/fd1f7c6f
Easy Fun 高蛋白微波蛋糕预拌粉(香浓可可味),热量：389 大卡(每100克),http://www.boohee.com/shiwu/fd42eab7
Easy Fun 红枣黑米圈(新包装),热量：392 大卡(每100克),http://www.boohee.com/shiwu/fd5ad4f9
Easy Fun 鸡肉松烤麦片,热量：455 大卡(每100克),http://www.boohee.com/shiwu/fdcdee28
Easy Fun 山药紫薯圈,热量：391 大卡(每100克),http://www.boohee.com/shiwu/fd3ce3a1
蛋炒饭，又叫黄金炒饭、蛋炒饭,热量：144 大卡(每100克),http://www.boohee.com/shiwu/danchaofan
红烧鳓鱼,热量：216 大卡(每100克),http://www.boohee.com/shiwu/hongshaoyu
盐水虾，又叫焖鲜虾,热量：92 大卡(每100克),http://www.boohee.com/shiwu/yanshuixia
清炒绿豆芽，又叫有机活体豆苗、炒绿豆芽,热量：44 大卡(每100克),http://www.boohee.com/shiwu/chaolvdouya
葱油饼，又叫葱花饼、葱油饼,热量：259 大卡(每100克),http://www.boohee.com/shiwu/congyoubing
清炒西葫芦，又叫炒西葫、西葫芦丝,热量：42 大卡(每100克),http://www.boohee.com/shiwu/qingchaoxihulu
西红柿鸡蛋面，又叫番茄蛋面、番茄鸡蛋面,热量：98 大卡(每100克),http://www.boohee.com/shiwu/xihongshijidanmian
酸辣土豆丝,热量：122 大卡(每100克),http://www.boohee.com/shiwu/suanlatudousi
红烧肉,热量：513 大卡(每100克),http://www.boohee.com/shiwu/hongshaorou
韭菜包子,热量：171 大卡(每100克),http://www.boohee.com/shiwu/jiucaibaozi
